System_Type,Type,Audience,Source,Status,Comment,Lengthinft,Jurisdiction,RPC,Shape_Length
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",96.319357023169715,Troy,NVDA,29.358139081201678
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",587.791310030276691,Troy,NVDA,179.158785564147195
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,4"",685.473481982970043,Troy,NVDA,208.932310622575329
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,350.743285899491070,Troy,NVDA,106.906550121155277
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,514.510871068025040,Troy,NVDA,156.822908483200962
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,567.051664402119854,Troy,NVDA,172.837341778971194
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,142.645352603919576,Troy,NVDA,43.478302082369019
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",312.690064972424750,Troy,NVDA,95.307928753741351
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,468.835522871679018,Troy,NVDA,142.901062798453751
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1505.415902898904505,Troy,NVDA,458.850752520361993
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,186.179311742547213,Troy,NVDA,56.747452403209913
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,339.510454594162127,Troy,NVDA,103.482783248851547
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",506.065819963207673,Troy,NVDA,154.248856988822268
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,21.864884180189371,Troy,NVDA,6.664416484860393
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,503.347436809645899,Troy,NVDA,153.420293830130674
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",176.273068957159211,Troy,NVDA,53.728029698845177
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",200.676773938705736,Troy,NVDA,61.166278739196585
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,539.833780852391328,Troy,NVDA,164.541331138486271
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",308.385551300620875,Troy,NVDA,93.995913028560025
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1169.279316915300342,Troy,NVDA,356.396324391101132
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",580.257556796223412,Troy,NVDA,176.862497651888958
Wastewater,Sanitary Line, ,Town Plan Interpretation,Existing, ,617.399260125214823,Troy,NVDA,188.183288464300261
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,199.120099132842000,Troy,NVDA,60.691804273552506
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,72.922492584575537,Troy,NVDA,22.226775028521821
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,447.890362476020186,Troy,NVDA,136.516978114147662
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1020.531675870485856,Troy,NVDA,311.058044851466661
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,138.035854493945806,Troy,NVDA,42.073327103408218
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",82.572488743873308,Troy,NVDA,25.168093763753582
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,79.670641549421006,Troy,NVDA,24.283610767187980
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,242.034828000032377,Troy,NVDA,73.772213213699047
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",252.671373691182538,Troy,NVDA,77.014232236617005
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",265.586521744321942,Troy,NVDA,80.950769237244714
Wastewater,Sanitary Line,Private,Stormwater Permit Plam Interpretation,Existing, ,193.547646533990275,Troy,NVDA,58.993320775773974
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1007.469085270203550,Troy,NVDA,307.076567363907884
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1049.733432382721048,Troy,NVDA,319.958739951573705
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,288.551204148511772,Troy,NVDA,87.950404210053449
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",612.758417566636240,Troy,NVDA,186.768759697710408
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",352.335857469643202,Troy,NVDA,107.391965920204342
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,1035.010496641374630,Troy,NVDA,315.471189281212958
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",439.984983971461361,Troy,NVDA,134.107418823064023
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,23.210186737711279,Troy,NVDA,7.074464691271528
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,164.552474158222168,Troy,NVDA,50.155592518447158
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",506.476905032651075,Troy,NVDA,154.374155713979064
Wastewater,Sanitary Line,Private,Stormwater Permit Plam Interpretation,Existing, ,1496.667487810582088,Troy,NVDA,456.184235686769910
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",482.655862236269513,Troy,NVDA,147.113502101982874
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,27.811710341783616,Troy,NVDA,8.477009040911357
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",208.033288135967638,Troy,NVDA,63.408544194769519
Wastewater,Sanitary Line,Private,Municipality Member Knowledge,Abandoned, ,175.188598474016089,Troy,NVDA,53.397483106160642
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,292.876378594998300,Troy,NVDA,89.268717339156524
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,119.613877590129562,Troy,NVDA,36.458308722805612
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,696.183395489326017,Troy,NVDA,212.196692154852428
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",989.032512950738692,Troy,NVDA,301.457100300757929
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,416.576655226804064,Troy,NVDA,126.972560450007947
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,391.763846611649683,Troy,NVDA,119.409616626123096
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",768.286836882036482,Troy,NVDA,234.173820388082476
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,28.955719571323648,Troy,NVDA,8.825703042916951
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,553.254227331663060,Troy,NVDA,168.631883094470652
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,777.602717852454475,Troy,NVDA,237.013300817002488
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,15.673082917404271,Troy,NVDA,4.777155520355845
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",2509.908924262033906,Troy,NVDA,765.020215634421106
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",273.965361862786892,Troy,NVDA,83.504639623628975
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",158.109409785837983,Troy,NVDA,48.191746560587525
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,583.039223991499625,Troy,NVDA,177.710349785877895
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",122.275317336503150,Troy,NVDA,37.269515531541664
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,203.001282672978022,Troy,NVDA,61.874788978730450
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,174.734567160575580,Troy,NVDA,53.259094366252420
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",351.522006438114602,Troy,NVDA,107.143904133732406
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,174.402333480664169,Troy,NVDA,53.157829543855897
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,197.140620252838488,Troy,NVDA,60.088459130234476
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,53.527254628467098,Troy,NVDA,16.315106688673357
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,440.108353989006957,Troy,NVDA,134.145022003208624
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,557.692488921616587,Troy,NVDA,169.984665183799450
Wastewater,Sanitary Line,Private,Stormwater Permit Plam Interpretation,Existing, ,174.378027802053907,Troy,NVDA,53.150421173252553
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",359.009547750210913,Troy,NVDA,109.426106652628874
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,710.724445332780647,Troy,NVDA,216.628804005309831
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,8.575858390586857,Troy,NVDA,2.613921553805384
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",304.477650066354556,Troy,NVDA,92.804784770471755
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,57.119313715442125,Troy,NVDA,17.409966263347840
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,309.387276071009296,Troy,NVDA,94.301238728803995
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",200.687954309242031,Troy,NVDA,61.169686516027006
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",554.673821427210669,Troy,NVDA,169.064575360947401
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,502.739014267522577,Troy,NVDA,153.234846645225787
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,85.966434198244968,Troy,NVDA,26.202568305142883
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,495.980478901169704,Troy,NVDA,151.174845131481476
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",665.821157786848858,Troy,NVDA,202.942282399278497
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",904.244874092823920,Troy,NVDA,275.613828803850197
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,284.443530612513769,Troy,NVDA,86.698385356345867
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,36.795623875814904,Troy,NVDA,11.215305798458598
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",309.683371583426151,Troy,NVDA,94.391488638100654
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,158.190564313584332,Troy,NVDA,48.216482459853069
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Abandoned, ,0.931430476508439,Troy,NVDA,0.283900000154972
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",301.229807419736744,Troy,NVDA,91.814842363460812
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,100.587081300895392,Troy,NVDA,30.658941399426791
Wastewater,Sanitary Line, ,Town Plan Interpretation,Existing, ,310.504091078802730,Troy,NVDA,94.641643932286470
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",215.382759075109504,Troy,NVDA,65.648662865336163
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,144.876569520718476,Troy,NVDA,44.158376976846931
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",282.925873916406147,Troy,NVDA,86.235803610174884
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,364.396320500111415,Troy,NVDA,111.067994934258124
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",288.107797840656474,Troy,NVDA,87.815253971743971
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",242.037625481591789,Troy,NVDA,73.773065886051072
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,19.752072078271137,Troy,NVDA,6.020431376803239
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",316.438205230848212,Troy,NVDA,96.450361867950960
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,26.357767805083125,Troy,NVDA,8.033847369906221
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,50.239015312223778,Troy,NVDA,15.312851377154564
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",203.149394766783786,Troy,NVDA,61.919933543477825
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,666.966326889611651,Troy,NVDA,203.291329930631065
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",306.685189104447829,Troy,NVDA,93.477642647751139
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,751.257761595186594,Troy,NVDA,228.983358406745396
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",227.010268945427867,Troy,NVDA,69.192727760399123
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,647.037571556918579,Ryegate,NVDA,197.217045499603330
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,100.812666032255734,Ryegate,NVDA,30.727699623345160
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,711.181201196494158,Ryegate,NVDA,216.768023188114682
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,398.616150790030190,Ryegate,NVDA,121.498198872858836
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,864.921530750566035,Ryegate,NVDA,263.628074136674172
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,25.054100048323455,Ryegate,NVDA,7.636489450361327
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,179.787286460677961,Ryegate,NVDA,54.799163159641424
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,606.240201005862446,Ryegate,NVDA,184.782007353562648
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Abandoned, ,113.952953538370394,Ryegate,NVDA,34.732859127043803
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,101.246104559327975,Ryegate,NVDA,30.859811682169195
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,383.294037585278488,Ryegate,NVDA,116.828018917496280
Wastewater,Sanitary Line,Public,Wastewater Division Plans,Existing, ,941.863952468530556,Ryegate,NVDA,287.080123525844158
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,43.671232935870457,Ryegate,NVDA,13.310991372901592
Wastewater,Sanitary Line,Public,Municipality Member Knowledge,Existing,Sewer Treatment Outflow,2404.500515929744779,Ryegate,NVDA,732.891733802850695
Wastewater,Sanitary Line, ,Wastewater Division Plans,Existing, ,295.896129600714801,Ryegate,NVDA,90.189137416245472
Wastewater,Sanitary Line,Public,,Existing, ,396.911460595359983,Newport City,NVDA,120.978609318150234
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Abandoned, ,33.621558642272788,Newport City,NVDA,10.247850746233523
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Abandoned, ,283.304667837382226,Newport City,NVDA,86.351259993593786
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Abandoned, ,133.014949838981607,Newport City,NVDA,40.542955413547020
Wastewater,Sanitary Line,Public,,Existing, ,252.217078166438057,Newport City,NVDA,76.875762965105906
Wastewater,Sanitary Line,Public,,Existing, ,129.922011632829879,Newport City,NVDA,39.600227878479252
Wastewater,Sanitary Line,Public,,Existing, ,33.783231651683032,Newport City,NVDA,10.297128677924871
Wastewater,Sanitary Line,Public,Data Collected in Field,Abandoned, ,171.375853434026453,Newport City,NVDA,52.235358455159790
Wastewater,Sanitary Line,Public,,Existing, ,611.271264965784326,Newport City,NVDA,186.315475599475832
Wastewater,Sanitary Line,Public,,Existing, ,266.725180993936533,Newport City,NVDA,81.297832565421217
Wastewater,Sanitary Line,Public,,Existing, ,782.471977823879911,Newport City,NVDA,238.497451208800157
Wastewater,Sanitary Line,Public,,Existing, ,417.952277216918333,Newport City,NVDA,127.391850019177511
Wastewater,Sanitary Line,Public,,Existing, ,184.333732766920321,Newport City,NVDA,56.184919949439873
Wastewater,Sanitary Line,Public,,Existing, ,242.167738356014667,Newport City,NVDA,73.812724288906097
Wastewater,Sanitary Line,Public,,Existing, ,118.125368772829148,Newport City,NVDA,36.004611249810765
Wastewater,Sanitary Line,Public,,Existing, ,89.439646360798776,Newport City,NVDA,27.261203338412958
Wastewater,Sanitary Line,Public,,Existing, ,489.628839655378613,Newport City,NVDA,149.238865551315712
Wastewater,Sanitary Line,Public,,Existing, ,622.119631459649213,Newport City,NVDA,189.622057600995248
Wastewater,Sanitary Line,Public,,Existing, ,525.953278488720457,Newport City,NVDA,160.310554153424278
Wastewater,Sanitary Line,Public,,Existing, ,595.426107804908952,Newport City,NVDA,181.485871851388367
Wastewater,Sanitary Line,Public,,Existing, ,661.657355222749743,Newport City,NVDA,201.673155418353133
Wastewater,Sanitary Line,Public,,Existing, ,277.066274660484851,Newport City,NVDA,84.449797814122249
Wastewater,Sanitary Line,Public,,Existing, ,584.719724732971713,Newport City,NVDA,178.222566395487661
Wastewater,Sanitary Line,Public,,Existing, ,146.461254423856474,Newport City,NVDA,44.641388919867012
Wastewater,Sanitary Line,Public,,Existing, ,39.076337317326626,Newport City,NVDA,11.910467233186203
Wastewater,Sanitary Line,Public,,Existing, ,157.022220188858029,Newport City,NVDA,47.860371182032047
Wastewater,Sanitary Line,Public,,Existing, ,319.514968919588796,Newport City,NVDA,97.388159410269566
Wastewater,Sanitary Line,Public,,Existing, ,155.937361062848481,Newport City,NVDA,47.529706131005618
Wastewater,Sanitary Line,Public,,Existing, ,420.133678882168226,Newport City,NVDA,128.056741225469153
Wastewater,Sanitary Line,Public,,Existing, ,316.088834771060021,Newport City,NVDA,96.343873755215142
Wastewater,Sanitary Line,Public,,Existing, ,589.910135724340989,Newport City,NVDA,179.804603615031823
Wastewater,Sanitary Line,Public,,Existing, ,187.992999803079925,Newport City,NVDA,57.300264506370297
Wastewater,Sanitary Line,Public,,Existing, ,328.391939942821466,Newport City,NVDA,100.093860091568459
Wastewater,Sanitary Line,Public,,Existing, ,174.527560101819915,Newport City,NVDA,53.195998616762751
Wastewater,Sanitary Line,Public,,Existing, ,735.700922821159907,Newport City,NVDA,224.241634100157256
Wastewater,Sanitary Line,Public,,Existing, ,97.155205044466626,Newport City,NVDA,29.612905549940450
Wastewater,Sanitary Line,Public,,Existing, ,1171.881796298180461,Newport City,NVDA,357.189560081619504
Wastewater,Sanitary Line,Public,,Existing, ,339.101371024221180,Newport City,NVDA,103.358094580723588
Wastewater,Sanitary Line,Public,,Existing, ,194.198857502524163,Newport City,NVDA,59.191809872631445
Wastewater,Sanitary Line,Public,,Existing, ,168.444471817555467,Newport City,NVDA,51.341873367050958
Wastewater,Sanitary Line,Public,,Existing, ,187.034272082629286,Newport City,NVDA,57.008044306527992
Wastewater,Sanitary Line,Public,,Existing, ,145.979287601899870,Newport City,NVDA,44.494485437235546
Wastewater,Sanitary Line,Public,,Existing, ,411.215174453778900,Newport City,NVDA,125.338381162683618
Wastewater,Sanitary Line,Public,,Existing, ,683.497479838293998,Newport City,NVDA,208.330025188151211
Wastewater,Sanitary Line,Public,,Existing, ,195.837767940368678,Newport City,NVDA,59.691349758101182
Wastewater,Sanitary Line,Public,,Existing, ,257.994046014466619,Newport City,NVDA,78.636582708838787
Wastewater,Sanitary Line,Public,,Existing, ,374.352177314075732,Newport City,NVDA,114.102539994049010
Wastewater,Sanitary Line,Public,,Existing, ,318.043712005074440,Newport City,NVDA,96.939720317075640
Wastewater,Sanitary Line,Public,,Existing, ,165.388955426663927,Newport City,NVDA,50.410552000909504
Wastewater,Sanitary Line,Public,,Existing, ,67.622918554354044,Newport City,NVDA,20.611464915800237
Wastewater,Sanitary Line,Public,,Existing, ,487.771402842485315,Newport City,NVDA,148.672718828862514
Wastewater,Sanitary Line,Public,,Existing, ,152.241569636912601,Newport City,NVDA,46.403228940427631
Wastewater,Sanitary Line,Public,,Existing, ,242.112011548964517,Newport City,NVDA,73.795738758660747
Wastewater,Sanitary Line,Public,,Existing, ,415.792682842507702,Newport City,NVDA,126.733605674920966
Wastewater,Sanitary Line,Public,,Existing, ,211.359170454691139,Newport City,NVDA,64.422273093077123
Wastewater,Sanitary Line,Public,,Existing, ,787.638927430794979,Newport City,NVDA,240.072337398591515
Wastewater,Sanitary Line,Public,,Existing, ,89.364649311390892,Newport City,NVDA,27.238344238484927
Wastewater,Sanitary Line,Public,,Existing, ,66.648146668196361,Newport City,NVDA,20.314354454406910
Wastewater,Sanitary Line,Public,,Existing, ,361.923139793302198,Newport City,NVDA,110.314169478945090
Wastewater,Sanitary Line,Public,,Existing, ,229.701362757922396,Newport City,NVDA,70.012973128199604
Wastewater,Sanitary Line,Public,,Existing, ,148.150684007724919,Newport City,NVDA,45.156327040552092
Wastewater,Sanitary Line,Public,,Existing, ,238.495883320603042,Newport City,NVDA,72.693542909926435
Wastewater,Sanitary Line,Public,,Existing, ,648.100675127826207,Newport City,NVDA,197.541079457646902
Wastewater,Sanitary Line,Public,,Existing, ,296.755674197561518,Newport City,NVDA,90.451126600980700
Wastewater,Sanitary Line,Public,,Existing, ,810.001110706159125,Newport City,NVDA,246.888330642810729
Wastewater,Sanitary Line,Public,,Existing, ,217.244200481751335,Newport City,NVDA,66.216030187924844
Wastewater,Sanitary Line,Public,,Existing, ,933.061101367893571,Newport City,NVDA,284.397014596229496
Wastewater,Sanitary Line,Public,,Existing, ,455.221115962151032,Newport City,NVDA,138.751391705219106
Wastewater,Sanitary Line,Public,,Existing, ,179.708034449004032,Newport City,NVDA,54.775007147256204
Wastewater,Sanitary Line,Public,,Existing, ,82.139803995543062,Newport City,NVDA,25.036211456682757
Wastewater,Sanitary Line,Public,,Existing, ,105.685345308028005,Newport City,NVDA,32.212892219074384
Wastewater,Sanitary Line,Public,,Existing, ,1876.649543353371882,Newport City,NVDA,572.002762510019352
Wastewater,Sanitary Line,Public,,Existing, ,555.067416933883237,Newport City,NVDA,169.184543267542239
Wastewater,Sanitary Line,Public,,Existing, ,570.493326883234545,Newport City,NVDA,173.886360469646348
Wastewater,Sanitary Line,Public,,Existing, ,76.286504331014939,Newport City,NVDA,23.252125776025331
Wastewater,Sanitary Line,Public,,Existing, ,628.418097701368424,Newport City,NVDA,191.541830050038527
Wastewater,Sanitary Line,Public,,Existing, ,612.690749195277476,Newport City,NVDA,186.748134378780264
Wastewater,Sanitary Line,Public,,Existing, ,375.169391013018924,Newport City,NVDA,114.351626721516112
Wastewater,Sanitary Line,Public,,Existing, ,99.865827148067879,Newport City,NVDA,30.439103140679791
Wastewater,Sanitary Line,Public,,Existing, ,270.429441582998948,Newport City,NVDA,82.426891156837556
Wastewater,Sanitary Line,Public,,Existing, ,295.512487669374877,Newport City,NVDA,90.072203359314955
